"ID user ";"Length of proﬁle name";"Length of proﬁle description";"Number of tweets posted";"Age of the user account, in days";"Ratio of number of followings and followers";"Number of following";"Number of followers";"Frequence of tweets posted per day";"hashtags average";"mentions average";"links average";"Likes average per tweet"
"442209880";"12";"112";"2";"20";"1,0";"395";"444";"2,0";"0,0";"0,0";"1,0";"0,0"
"969518528";"12";"144";"7";"20";"0,0";"10";"1";"7,0";"0,0";"0,0";"0,0";"0,0"
"791179450880753700";"15";"18";"1";"20";"1,0";"272";"360";"1,0";"0,0";"2,0";"0,0";"0,0"
"637454832";"10";"39";"3";"20";"1,0";"467";"929";"3,0";"0,0";"1,0";"1,0";"0,0"
"1276006400";"10";"0";"1";"20";"540,0";"36";"19450";"1,0";"0,0";"1,0";"0,0";"0,0"
"16649457";"9";"66";"2";"20";"33,0";"362";"12011";"2,0";"0,0";"0,0";"0,0";"0,0"
"600305619";"11";"53";"8";"20";"1,0";"145";"247";"8,0";"0,0";"1,0";"0,0";"0,0"
"4655991194";"13";"40";"1";"20";"0,0";"179";"136";"1,0";"0,0";"1,0";"0,0";"0,0"
"2623762499";"15";"35";"1";"20";"1,0";"12960";"23119";"1,0";"0,0";"1,0";"0,0";"0,0"
"17757486";"9";"160";"2";"20";"1,0";"476";"854";"2,0";"0,0";"0,0";"0,0";"0,0"
"1216240735";"13";"7";"3";"20";"0,0";"961";"780";"3,0";"0,0";"1,0";"0,0";"0,0"
"876761249706639400";"6";"55";"73";"20";"0,0";"18";"7";"73,0";"0,0";"0,0";"0,0";"0,0"
"808490005";"11";"157";"3";"20";"20,0";"233";"4662";"3,0";"0,0";"1,0";"0,0";"0,0"
"738762499651145700";"7";"15";"3";"20";"6,0";"279";"1814";"3,0";"0,0";"0,0";"1,0";"0,0"
"1009508365";"12";"11";"1";"20";"1,0";"644";"786";"1,0";"0,0";"0,0";"0,0";"0,0"
"2297406664";"8";"32";"3";"20";"8,0";"267";"2334";"3,0";"0,0";"0,0";"1,0";"0,0"
"283528396";"8";"27";"3";"20";"1,0";"489";"734";"3,0";"1,0";"1,0";"0,0";"0,0"
"205742191";"12";"94";"11";"20";"3,0";"394";"1238";"11,0";"4,0";"0,0";"1,0";"0,0"
"1558868185";"11";"25";"1";"20";"1,0";"54";"95";"1,0";"0,0";"1,0";"0,0";"0,0"
"604665919";"6";"113";"4";"20";"3,0";"429";"1363";"4,0";"0,0";"1,0";"0,0";"0,0"
"865597717812260900";"13";"14";"79";"20";"1,0";"37";"60";"79,0";"0,0";"0,0";"1,0";"0,0"
"716668553";"15";"60";"6";"20";"3,0";"79";"273";"6,0";"1,0";"1,0";"0,0";"0,0"
