"ID user ";"Length of proﬁle name";"Length of proﬁle description";"Number of tweets posted";"Age of the user account, in days";"Ratio of number of followings and followers";"Number of following";"Number of followers";"Frequence of tweets posted per day";"hashtags average";"mentions average";"links average";"Likes average per tweet"
"1889602274";"14";"0";"0";"20";"1,0";"115";"139";"NaN";"0,0";"0,0";"0,0";"0,0"
"257631512";"7";"67";"0";"20";"0,0";"293";"283";"NaN";"0,0";"0,0";"0,0";"0,0"
"3035129517";"10";"138";"0";"20";"0,0";"599";"572";"NaN";"0,0";"0,0";"0,0";"0,0"
"3008848144";"11";"14";"0";"20";"1,0";"292";"418";"NaN";"0,0";"0,0";"0,0";"0,0"
"370637904";"8";"112";"0";"20";"0,0";"1494";"877";"NaN";"0,0";"0,0";"0,0";"0,0"
"775315422883250200";"15";"102";"0";"20";"0,0";"674";"416";"NaN";"0,0";"0,0";"0,0";"0,0"
"1382971454";"9";"82";"0";"20";"0,0";"664";"409";"NaN";"0,0";"0,0";"0,0";"0,0"
"1462549886";"15";"85";"0";"20";"1,0";"1813";"2098";"NaN";"0,0";"0,0";"0,0";"0,0"
"33459117";"10";"130";"0";"20";"181,0";"155";"28151";"NaN";"0,0";"0,0";"0,0";"0,0"
"1428967290";"15";"27";"0";"20";"2,0";"294";"694";"NaN";"0,0";"0,0";"0,0";"0,0"
"2714069906";"13";"12";"0";"20";"0,0";"120";"42";"NaN";"0,0";"0,0";"0,0";"0,0"
"874620977036091400";"11";"9";"0";"20";"0,0";"206";"20";"NaN";"0,0";"0,0";"0,0";"0,0"
"2944925145";"14";"151";"0";"20";"0,0";"127";"54";"NaN";"0,0";"0,0";"0,0";"0,0"
"3026859530";"10";"0";"0";"20";"1,0";"283";"424";"NaN";"0,0";"0,0";"0,0";"0,0"
"706124819553775600";"14";"154";"0";"20";"1,0";"561";"656";"NaN";"0,0";"0,0";"0,0";"0,0"
"1081272853";"12";"44";"0";"20";"1,0";"75";"76";"NaN";"0,0";"0,0";"0,0";"0,0"
"2476524021";"10";"10";"0";"20";"0,0";"703";"440";"NaN";"0,0";"0,0";"0,0";"0,0"
"317948057";"11";"0";"0";"20";"0,0";"126";"55";"NaN";"0,0";"0,0";"0,0";"0,0"
"778132490";"13";"0";"0";"20";"1,0";"172";"241";"NaN";"0,0";"0,0";"0,0";"0,0"
"616433365";"6";"142";"0";"20";"0,0";"170";"79";"NaN";"0,0";"0,0";"0,0";"0,0"
